replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
12,12,baseline,Baseline,124.793261949587,345.443581148862,340.8122464685,-4.63133468036278,2297.79646656909,2984
12,12,early_mover,Early Mover,118.745754043717,247.530028422986,244.11219707776,-3.41783134522592,1680.700629958,4946
12,12,sequential,Sequential,116.749225511542,234.255107133147,228.534698097635,-5.72040903551181,1606.19756887052,5130
12,12,coordinated,Coordinated,113.776197444,248.738504739343,256.69034272962,7.95183799027694,1711.34651129282,4901
12,12,delayed_coordination,Delayed Coordination,115.645232640877,231.096802748487,224.094828756465,-7.00197399202196,1614.85676375492,5023
13,13,baseline,Baseline,126.648445085528,338.366618841938,335.193919211343,-3.17269963059482,2231.03247443756,2959
13,13,early_mover,Early Mover,119.687615592232,237.997657426957,248.820010910014,10.822353483057,1620.8387855598,4922
13,13,sequential,Sequential,118.729789024393,226.348829983703,242.546369167155,16.197539183452,1567.54573429963,5048
13,13,coordinated,Coordinated,119.656139569236,225.771151368017,234.770748474621,8.99959710660426,1554.86654466827,4999
13,13,delayed_coordination,Delayed Coordination,117.688665575214,230.979906815449,244.177875092455,13.1979682770057,1578.87690702811,4983
14,14,baseline,Baseline,128.364915885611,335.488980749225,333.817977983994,-1.67100276523109,2263.49543785668,2720
14,14,early_mover,Early Mover,122.942604399601,249.877426460891,256.926909479298,7.04948301840733,1703.56970362338,4594
14,14,sequential,Sequential,117.007174846521,251.160031954886,260.99731052715,9.83727857226387,1703.86392047217,4520
14,14,coordinated,Coordinated,118.727963490732,250.652949553469,254.925814034789,4.27286448131989,1683.37030662058,4635
14,14,delayed_coordination,Delayed Coordination,119.788832255128,246.716764243454,256.051927096302,9.33516285284784,1669.8131502484,4651
15,15,baseline,Baseline,128.328380711341,347.467752160738,335.481621687932,-11.9861304728061,2385.59582901859,2682
15,15,early_mover,Early Mover,124.986036867368,260.890491487748,245.028393053214,-15.8620984345341,1741.3520729296,4803
15,15,sequential,Sequential,125.539838155139,241.300260404474,233.920978091718,-7.37928231275635,1663.45808865912,4921
15,15,coordinated,Coordinated,123.918066886496,244.332661379385,238.243871650103,-6.08878972928198,1688.74344208301,4856
15,15,delayed_coordination,Delayed Coordination,124.178653969066,248.21847912164,237.29882607144,-10.9196530502006,1678.79060625362,4894
16,16,baseline,Baseline,129.182409337563,313.261577286303,338.908038064963,25.6464607786604,2206.70710788291,3196
16,16,early_mover,Early Mover,128.909792886267,236.298008719363,233.350209621634,-2.94779909772916,1566.49679295721,5341
16,16,sequential,Sequential,127.529707746288,230.998930928703,229.341460675702,-1.65747025300121,1506.19177362894,5398
16,16,coordinated,Coordinated,119.075854066468,238.209238637078,220.439081465882,-17.7701571711957,1606.75443004238,4722
16,16,delayed_coordination,Delayed Coordination,129.515463849462,223.8162877999,213.946383990465,-9.86990380943416,1474.9282603893,5492
17,17,baseline,Baseline,125.845512007681,355.530114890758,351.48146430065,-4.0486505901078,2333.55948574667,2738
17,17,early_mover,Early Mover,123.604495311814,234.566947493912,245.651054874221,11.0841073803086,1579.22217680913,4984
17,17,sequential,Sequential,123.311443820884,231.199113805173,233.101880344336,1.90276653916291,1521.32863353334,5018
17,17,coordinated,Coordinated,116.235265627053,230.416154975871,238.384241049196,7.96808607332522,1643.84512418143,4740
17,17,delayed_coordination,Delayed Coordination,126.552064100201,226.213532455743,232.842489451727,6.62895699598434,1510.54218270419,5094
18,18,baseline,Baseline,126.829570709425,314.750475590682,322.117546427089,7.3670708364067,2231.01294029534,3103
18,18,early_mover,Early Mover,116.216739658461,258.331119036707,253.980654786929,-4.35046424977776,1705.10907754161,4839
18,18,sequential,Sequential,112.048191251319,255.88387038255,253.880011255494,-2.0038591270565,1690.20748702614,4570
