replication,seed,recovery_horizon,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
10,10,7,early_mover,coordinated,0.0128332928815951,14.8400904648905,87.966240783973,-408
10,10,7,early_mover,delayed_coordination,1.36829490145104,1.58201030778824,49.9239345006522,-105
10,10,7,sequential,coordinated,-0.41165269629434,12.6864890736306,24.1349667328038,-194
10,10,7,sequential,delayed_coordination,0.943808912275102,-0.571591083471731,-13.907339550517,109
10,10,7,coordinated,delayed_coordination,1.35546160856944,-13.2580801571023,-38.0423062833208,303
11,11,3,early_mover,sequential,-1.11029324160562,14.6211638137786,161.468247347328,-260
11,11,3,early_mover,coordinated,2.85835487402173,7.11371303315991,15.6323812917744,-123
11,11,3,early_mover,delayed_coordination,-1.87025573562664,12.7658923920041,165.570617673028,-301
11,11,3,sequential,coordinated,3.96864811562735,-7.50745078061871,-145.835866055554,137
11,11,3,sequential,delayed_coordination,-0.759962494021025,-1.85527142177452,4.10237032570035,-41
11,11,3,coordinated,delayed_coordination,-4.72861060964837,5.65217935884419,149.938236381254,-178
11,11,5,early_mover,sequential,1.87088609331015,5.03348823706841,15.76616192798,10
11,11,5,early_mover,coordinated,0.302203629818038,5.63560262445608,14.0925507484046,-142
11,11,5,early_mover,delayed_coordination,1.78875566305048,3.46597820893913,34.183687490842,-27
11,11,5,sequential,coordinated,-1.56868246349211,0.602114387387672,-1.67361117957535,-152
11,11,5,sequential,delayed_coordination,-0.0821304302596673,-1.56751002812928,18.417525562862,-37
11,11,5,coordinated,delayed_coordination,1.48655203323244,-2.16962441551695,20.0911367424374,115
11,11,7,early_mover,sequential,2.20786881905642,13.6821209947373,8.20795061978151,34
11,11,7,early_mover,coordinated,-0.985483437555985,22.5268442683181,46.5947693254989,-177
11,11,7,early_mover,delayed_coordination,3.01040551636012,15.873065974436,19.3113217696668,4
11,11,7,sequential,coordinated,-3.1933522566124,8.84472327358083,38.3868187057174,-211
11,11,7,sequential,delayed_coordination,0.802536697303708,2.19094497969871,11.1033711498853,-30
11,11,7,coordinated,delayed_coordination,3.99588895391611,-6.65377829388211,-27.283447555832,181
12,12,3,early_mover,sequential,3.2474669687693,10.8194054485743,47.6121505196102,-48
12,12,3,early_mover,coordinated,3.87955580215201,-2.24735064959287,37.6229899253872,71
12,12,3,early_mover,delayed_coordination,2.47688657071036,18.5796456277413,62.0410955257564,-82
12,12,3,sequential,coordinated,0.63208883338271,-13.0667560981672,-9.98916059422299,119
12,12,3,sequential,delayed_coordination,-0.770580398058939,7.76024017916706,14.4289450061463,-34
12,12,3,coordinated,delayed_coordination,-1.40266923144165,20.8269962773342,24.4181056003692,-153
12,12,5,early_mover,sequential,1.99652853217412,13.2749212898385,74.5030610874771,-184
12,12,5,early_mover,coordinated,4.96955659971685,-1.20847631635706,-30.6458813348208,45
12,12,5,early_mover,delayed_coordination,3.10052140283976,16.4332256744992,65.843866203081,-77
12,12,5,sequential,coordinated,2.97302806754273,-14.4833976061956,-105.148942422298,229
12,12,5,sequential,delayed_coordination,1.10399287066564,3.15830438466068,-8.65919488439613,107
